symbol,group,strategy,stop_loss,fit_rating,bars,start_at,end_at,trades,win_rate,profit_factor,total_pnl,average_trade_pnl,max_drawdown,average_hold_bars,best_trade,worst_trade,no_signal_periods,data_issues,notes
AAPL,Large-cap stocks,Donchian Breakout Strategy,none,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,10,80.0,49.26,90.55,9.05,-1.78,45.9,30.66,-1.78,973,0,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Donchian Breakout Strategy,2pct,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,10,80.0,49.26,90.55,9.05,-1.78,45.9,30.66,-1.78,973,0,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Donchian Breakout Strategy,3pct,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,10,80.0,49.26,90.55,9.05,-1.78,45.9,30.66,-1.78,973,0,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Donchian Breakout Strategy,5pct,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,10,80.0,49.26,90.55,9.05,-1.78,45.9,30.66,-1.78,973,0,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Opening Range Breakout Strategy,none,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,12,58.33,3.58,62.39,5.2,-18.43,47.75,29.8,-8.59,1025,24,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Opening Range Breakout Strategy,2pct,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,12,58.33,3.58,62.39,5.2,-18.43,47.75,29.8,-8.59,1025,24,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Opening Range Breakout Strategy,3pct,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,12,58.33,3.58,62.39,5.2,-18.43,47.75,29.8,-8.59,1025,24,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Opening Range Breakout Strategy,5pct,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,12,58.33,3.58,62.39,5.2,-18.43,47.75,29.8,-8.59,1025,24,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Breakout Strategy,none,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,8,62.5,3.43,64.22,8.03,-26.2,64.12,50.91,-17.33,997,0,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Breakout Strategy,3pct,Strong Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,8,62.5,3.43,64.22,8.03,-26.2,64.12,50.91,-17.33,997,0,Historically tested starting point; not a guarantee.
